2025-02-12 17:10:37,779 INFO    MainThread:2212 [wandb_setup.py:_flush():68] Current SDK version is 0.19.6
2025-02-12 17:10:37,780 INFO    MainThread:2212 [wandb_setup.py:_flush():68] Configure stats pid to 2212
2025-02-12 17:10:37,780 INFO    MainThread:2212 [wandb_setup.py:_flush():68] Loading settings from C:\Users\AMI-DEEP3\.config\wandb\settings
2025-02-12 17:10:37,780 INFO    MainThread:2212 [wandb_setup.py:_flush():68] Loading settings from c:\Users\AMI-DEEP3\Desktop\younguk\wandb\settings
2025-02-12 17:10:37,780 INFO    MainThread:2212 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-02-12 17:10:37,780 INFO    MainThread:2212 [wandb_init.py:setup_run_log_directory():637] Logging user logs to c:\Users\AMI-DEEP3\Desktop\younguk\wandb\run-20250212_171037-x0lzxcxj\logs\debug.log
2025-02-12 17:10:37,791 INFO    MainThread:2212 [wandb_init.py:setup_run_log_directory():638] Logging internal logs to c:\Users\AMI-DEEP3\Desktop\younguk\wandb\run-20250212_171037-x0lzxcxj\logs\debug-internal.log
2025-02-12 17:10:37,791 INFO    MainThread:2212 [wandb_init.py:init():756] calling init triggers
2025-02-12 17:10:37,791 INFO    MainThread:2212 [wandb_init.py:init():761] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-02-12 17:10:37,791 INFO    MainThread:2212 [wandb_init.py:init():789] starting backend
2025-02-12 17:10:38,013 INFO    MainThread:2212 [wandb_init.py:init():793] sending inform_init request
2025-02-12 17:10:38,016 INFO    MainThread:2212 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=spawn, using: spawn
2025-02-12 17:10:38,027 INFO    MainThread:2212 [wandb_init.py:init():808] backend started and connected
2025-02-12 17:10:38,027 INFO    MainThread:2212 [wandb_init.py:init():901] updated telemetry
2025-02-12 17:10:38,028 INFO    MainThread:2212 [wandb_init.py:init():936] communicating run to backend with 90.0 second timeout
2025-02-12 17:10:40,472 INFO    MainThread:2212 [wandb_init.py:init():994] starting run threads in backend
2025-02-12 17:10:40,533 INFO    MainThread:2212 [wandb_run.py:_console_start():2385] atexit reg
2025-02-12 17:10:40,533 INFO    MainThread:2212 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2025-02-12 17:10:40,533 INFO    MainThread:2212 [wandb_run.py:_redirect():2300] Wrapping output streams.
2025-02-12 17:10:40,533 INFO    MainThread:2212 [wandb_run.py:_redirect():2325] Redirects installed.
2025-02-12 17:10:40,534 INFO    MainThread:2212 [wandb_init.py:init():1036] run started, returning control to user process
2025-02-12 17:10:40,534 INFO    MainThread:2212 [wandb_run.py:_config_callback():1253] config_cb None None {'epochs': 5, 'batch_size': 1, 'learning_rate': 1e-05, 'val_percent': 0.1, 'save_checkpoint': True, 'img_scale': 0.5, 'amp': False}
2025-02-12 17:11:47,741 WARNING MsgRouterThr:2212 [router.py:message_loop():75] message_loop has been closed
